Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Joe Ingles,,7.6,6,5,2.3,2.2,NA,NA,NA
Reggie King,86.7,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA
Dwight Powell,85.7,7.5,6.6,4.6,3.1,0.6,NA,NA,NA
Greg Smith,85.2,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
John Brisker,84.0,8.2,6.3,3.1,2.3,1.7,0.5,NA,NA
Les Hunter,83.6,8.4,5.6,4.9,2.7,2.2,2.1,-0.5,NA
Sonny Parker,81.5,7,6.8,6.2,3,2.3,1.6,NA,NA
John Shumate,81.5,7.7,6.5,6.3,3.5,0.5,NA,NA,NA
Rich Jones,80.5,6.6,6.3,5.8,1.9,1.8,1.5,0.6,0.2
Chandler Parsons,79.1,7.6,7,5.5,4.3,3.4,1.1,0.2,0
Doug Moe,78.7,9.4,5.2,4.8,4.3,1.8,NA,NA,NA
