Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,23,POR,NBA,SG,1,0,15:00,5,7,0.714,0,1,0,0,0,NA,0,4,4,3,1,3,3,10
1987-88,25,POR,NBA,SG,1,0,15:00,3,5,0.6,0,1,0,6,6,1,2,5,0,1,0,1,3,12
1988-89,26,POR,NBA,SG,1,0,25:00,7,19,0.368,0,0,NA,0,0,NA,6,12,4,2,0,6,3,14
1989-90,27,POR,NBA,SG,1,0,19:00,2,6,0.333,1,1,1,2,2,1,4,4,2,1,1,1,1,7
1990-91,28,POR,NBA,SG,1,0,19:00,4,9,0.444,0,0,NA,4,4,1,2,4,2,1,1,0,3,12
1991-92,29,POR,NBA,SG,1,1,28:00,10,15,0.667,2,4,0.5,0,0,NA,2,9,6,0,2,1,2,22
1992-93,30,POR,NBA,SG,1,1,11:00,1,3,0.333,0,1,0,0,0,NA,1,1,1,0,0,2,3,2
1993-94,31,POR,NBA,SG,1,1,15:00,3,7,0.429,0,2,0,0,0,NA,0,3,1,1,1,1,1,6
1995-96,33,HOU,NBA,SG,1,1,19:00,5,8,0.625,1,4,0.25,0,0,NA,0,2,3,3,0,3,0,11
1996-97,34,HOU,NBA,SG,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,9,4,166,40,79,0.506,4,14,0.286,12,12,1,17,44,23,12,6,18,19,96
