Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,26,CHI,NBA,PG,80,NA,2863,6.8,16.8,0.406,4.6,5.9,0.778,1.8,4.2,6,8.8,2.6,0.1,NA,4.5,18.2,NA,NA,94
1974-75,27,CHI,NBA,PG,70,NA,2590,7.6,18,0.42,4.4,5.5,0.792,1.6,4.5,6.1,7.5,2.6,0.3,NA,4.6,19.5,NA,NA,94
1975-76,28,CHI,NBA,PG,76,NA,3026,5.7,15.6,0.366,3.7,5,0.737,2.2,4.3,6.5,7.9,2.4,0.4,NA,4.7,15.1,NA,NA,98
1976-77,29,CHI,NBA,PG,82,NA,3097,4.6,11.3,0.412,3.7,4.7,0.778,1.7,4.1,5.7,9.9,2,0.2,NA,4.2,13,NA,NA,99
1977-78,30,CHI,NBA,PG,78,NA,2524,3.7,8.9,0.419,3.2,4.3,0.751,1.6,3.7,5.3,9.9,2.7,0.1,3.7,5.2,10.7,NA,100,103
1978-79,31,MIL,NBA,PG,38,NA,555,2.4,6.3,0.39,3.8,4.2,0.904,0.6,2.6,3.2,12.8,3.5,0.2,4,8.8,8.7,NA,106,103
Career,NA,,NBA,,424,NA,14655,5.6,13.9,0.402,3.9,5.1,0.773,1.7,4.1,5.8,9,2.5,0.2,0.8,4.8,15.1,NA,101,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,CHI,NBA,,386,NA,14100,5.7,14.2,0.402,3.9,5.1,0.768,1.8,4.2,5.9,8.8,2.4,0.2,0.7,4.6,15.3,NA,100,97
1 season,NA,MIL,NBA,,38,NA,555,2.4,6.3,0.39,3.8,4.2,0.904,0.6,2.6,3.2,12.8,3.5,0.2,4,8.8,8.7,NA,106,103
