Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Norm Van Lier,,7.7,7.7,6,5.6,5.5,5.2,3.8,3.2,2.1,1.1
Jeff Teague,92.5,8.1,7.7,6.1,6,5.9,5.2,4.9,2.2,1.7,0.6
Cuttino Mobley,91.5,8.2,7.6,6.9,5.7,5.3,5.2,4.6,4.4,2.3,2.1
Brian Taylor,90.9,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1
Mike Newlin,90.8,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6
Latrell Sprewell,90.6,8.1,8,6.6,5.5,5.1,4,3,2.8,2,0.4
John Starks,90.3,7.5,6.4,6.2,5.8,5.8,5.7,4.6,3,2.4,0
David Wesley,90.1,7.6,7,6.3,6.1,6.1,5.8,4.8,2.6,2.6,0.6
Wesley Matthews,89.5,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.1,2.7,2.6
Dick McGuire,89.5,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4,2.1,1.3
Jay Humphries,89.1,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2,1.9,1.8
