Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,26,CHI,NBA,PG,1,0,9:00,0,0,NA,0,0,NA,1,1,2,1,0,NA,1,0
1975-76,28,CHI,NBA,PG,1,0,14:00,1,4,0.25,1,2,0.5,1,1,0,1,1,NA,2,3
1976-77,29,CHI,NBA,PG,1,1,14:00,1,3,0.333,0,0,NA,0,1,1,0,0,NA,2,2
Career,NA,,NBA,,3,1,37,2,7,0.286,1,2,0.5,2,3,3,2,1,NA,5,5
