Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,CIN,NBA,PG,81,NA,2895,3.8,9.3,0.403,2.1,2.8,0.741,NA,NA,5.1,6.2,NA,NA,NA,4.1,9.6
1970-71,23,CIN,NBA,SG,82,NA,3324,5.2,12.3,0.42,3.9,4.8,0.816,NA,NA,6.3,9,NA,NA,NA,3.7,14.2
1971-72,24,TOT,NBA,PG,79,NA,2415,5,11.3,0.439,3.5,4.5,0.79,NA,NA,5.3,8.1,NA,NA,NA,3.6,13.5
1971-72,24,CIN,NBA,PG,10,NA,275,3.7,11.8,0.311,2.2,2.9,0.773,NA,NA,7.6,6.7,NA,NA,NA,4.2,9.6
1971-72,24,CHI,NBA,PG,69,NA,2140,5.1,11.3,0.456,3.7,4.7,0.791,NA,NA,5,8.3,NA,NA,NA,3.5,14
1972-73,25,CHI,NBA,PG,80,NA,2882,5.9,13.3,0.445,2.1,2.6,0.787,NA,NA,5.5,7.1,NA,NA,NA,3.4,13.9
1973-74,26,CHI,NBA,PG,80,NA,2863,5.4,13.2,0.406,3.6,4.7,0.778,1.4,3.3,4.7,6.9,2,0.1,NA,3.5,14.4
1974-75,27,CHI,NBA,PG,70,NA,2590,5.7,13.5,0.42,3.3,4.1,0.792,1.2,3.4,4.6,5.6,1.9,0.2,NA,3.4,14.6
1975-76,28,CHI,NBA,PG,76,NA,3026,4.3,11.7,0.366,2.8,3.8,0.737,1.6,3.2,4.9,5.9,1.8,0.3,NA,3.5,11.4
1976-77,29,CHI,NBA,PG,82,NA,3097,3.5,8.5,0.412,2.8,3.6,0.778,1.3,3,4.3,7.4,1.5,0.2,NA,3.1,9.7
1977-78,30,CHI,NBA,PG,78,NA,2524,2.9,6.8,0.419,2.5,3.3,0.751,1.2,2.8,4.1,7.6,2.1,0.1,2.9,4,8.2
1978-79,31,MIL,NBA,PG,38,NA,555,1.9,5,0.39,3,3.4,0.904,0.5,2.1,2.6,10.2,2.8,0.2,3.2,7,6.9
Career,NA,,NBA,,746,NA,26171,4.6,11,0.414,2.9,3.8,0.78,1.3,3.1,4.9,7.2,1.9,0.2,2.9,3.7,12.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,CHI,NBA,,535,NA,19122,4.7,11.2,0.416,2.9,3.8,0.773,1.4,3.2,4.7,6.9,1.8,0.2,2.9,3.5,12.2
3 seasons,NA,CIN,NBA,,173,NA,6494,4.5,11,0.409,3,3.8,0.79,NA,NA,5.8,7.7,NA,NA,NA,3.9,12
1 season,NA,MIL,NBA,,38,NA,555,1.9,5,0.39,3,3.4,0.904,0.5,2.1,2.6,10.2,2.8,0.2,3.2,7,6.9
