Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,CIN,NBA,PG,81,NA,2895,302,749,0.403,166,224,0.741,NA,NA,409,500,NA,NA,NA,329,770
1970-71,23,CIN,NBA,SG,82,NA,3324,478,1138,0.42,359,440,0.816,NA,NA,583,832,NA,NA,NA,343,1315
1971-72,24,TOT,NBA,PG,79,NA,2415,334,761,0.439,237,300,0.79,NA,NA,357,542,NA,NA,NA,239,905
1971-72,24,CIN,NBA,PG,10,NA,275,28,90,0.311,17,22,0.773,NA,NA,58,51,NA,NA,NA,32,73
1971-72,24,CHI,NBA,PG,69,NA,2140,306,671,0.456,220,278,0.791,NA,NA,299,491,NA,NA,NA,207,832
1972-73,25,CHI,NBA,PG,80,NA,2882,474,1064,0.445,166,211,0.787,NA,NA,438,567,NA,NA,NA,269,1114
1973-74,26,CHI,NBA,PG,80,NA,2863,427,1051,0.406,288,370,0.778,114,263,377,548,162,7,NA,282,1142
1974-75,27,CHI,NBA,PG,70,NA,2590,407,970,0.42,236,298,0.792,86,242,328,403,139,14,NA,246,1050
1975-76,28,CHI,NBA,PG,76,NA,3026,361,987,0.366,235,319,0.737,138,272,410,500,150,26,NA,298,957
1976-77,29,CHI,NBA,PG,82,NA,3097,300,729,0.412,238,306,0.778,108,262,370,636,129,16,NA,268,838
1977-78,30,CHI,NBA,PG,78,NA,2524,200,477,0.419,172,229,0.751,86,198,284,531,144,5,200,279,572
1978-79,31,MIL,NBA,PG,38,NA,555,30,77,0.39,47,52,0.904,8,32,40,158,43,3,49,108,107
Career,NA,,NBA,,746,NA,26171,3313,8003,0.414,2144,2749,0.78,540,1269,3596,5217,767,71,249,2661,8770
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,CHI,NBA,,535,NA,19122,2475,5949,0.416,1555,2011,0.773,532,1237,2506,3676,724,68,200,1849,6505
3 seasons,NA,CIN,NBA,,173,NA,6494,808,1977,0.409,542,686,0.79,NA,NA,1050,1383,NA,NA,NA,704,2158
1 season,NA,MIL,NBA,,38,NA,555,30,77,0.39,47,52,0.904,8,32,40,158,43,3,49,108,107
