Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
DeSagana Diop,,4.1,3.8,3,1.4,1,0.4,0,-0.1,-0.1,-0.2,-0.2,-0.3
Chris Mihm,89.5,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA,NA,NA
Lee Davis,78.8,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA,NA
Rick Roberson,77.5,3.6,3.5,3.2,3,1,0.4,0,NA,NA,NA,NA,NA
Aron Baynes,76.2,4.1,3.9,3,3,2.4,0.6,0.1,NA,NA,NA,NA,NA
Alex Len,76.0,4.5,3.4,3.2,3,1.3,0.2,NA,NA,NA,NA,NA,NA
Dan Gadzuric,74.1,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0,NA,NA
George Peeples,74.0,4.1,3.2,2.1,1.5,0.2,0,NA,NA,NA,NA,NA,NA
Rick Robey,74.0,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,NA,NA,NA,NA
Nerlens Noel,73.3,4.3,4,4,3,1.3,NA,NA,NA,NA,NA,NA,NA
Dewayne Dedmon,72.5,5.2,4,3.7,2.4,1.7,0.6,NA,NA,NA,NA,NA,NA
