Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Bill Calhoun,,4.5,4.1,3.9,2.2,2.1,1.4,0.4,NA,NA
Kenny Walker,88.6,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA
Paul Griffin,88.1,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA
Donald Royal,86.4,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA
Lionel Simmons,86.0,4.3,3.8,3.8,2.7,1.1,0.9,0.3,NA,NA
Andray Blatche,85.6,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1
Terrence Ross,85.6,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA
David Benoit,84.3,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA
Jeff Cook,84.2,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA
John Brown,83.8,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA
Tyler Hansbrough,83.8,4.4,3.9,3.8,3.4,3,1,0.7,NA,NA
