Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bill Calhoun,,4.5,4.1,3.9,2.2,2.1,1.4,0.4
Shandon Anderson,92.7,4.9,4.2,3.9,2.7,2,1.2,0.4
Danny Fortson,91.6,4.5,4.4,3.5,2.3,1.9,1.1,0.2
Ron Anderson,91.4,4.4,4.1,3.8,3.1,2.5,1.5,0.3
Nate Williams,90.8,4.5,4.3,4,2.8,2.5,1.9,0.4
Allan Bristow,90.2,4.4,4.3,3.5,2.8,1.9,1.9,0.5
Kenny Walker,88.6,4.7,4,3.1,2.7,1.9,1.3,0.1
Eduardo Nájera,88.2,4.8,4,4,2.7,1.6,1.1,1.1
Paul Griffin,88.1,4.9,4.4,4.1,2.9,1.6,1.4,0.4
Donald Royal,88.0,5.1,3.8,3.6,2.3,1.6,1.3,1
Derek Strong,87.8,4.4,4.1,2.4,2.1,1.9,1.5,0
