Season,Team,Lg,Salary
1995-96,Atlanta Hawks,NBA,"$791,000"
1996-97,Atlanta Hawks,NBA,"$910,000"
1997-98,Atlanta Hawks,NBA,"$1,028,400"
1998-99,Atlanta Hawks,NBA,"$4,725,000"
1999-00,Atlanta Hawks,NBA,"$5,318,437"
2000-01,Atlanta Hawks,NBA,"$5,910,000"
2001-02,Atlanta Hawks,NBA,"$6,500,312"
2002-03,Atlanta Hawks,NBA,"$7,091,250"
2003-04,Atlanta Hawks,NBA,"$7,682,188"
2004-05,Dallas Mavericks,NBA,"$8,273,125"
2005-06,Cleveland Cavaliers,NBA,"$1,138,500"
2006-07,Utah Jazz,NBA,"$1,178,348"
Career,(may be incomplete),,"$50,546,560"
