Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Alan Henderson,,6,4.3,3.1,3.1,2.6,2,1.9,1.6,1.3,1.3,0.7,0.2
Chris Wilcox,89.8,6,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,NA
Phil Jackson,86.4,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5
Reggie Evans,84.1,4.3,3.8,3,2.7,2.3,2.1,1.9,1.7,1.5,1.3,1.3,0.2
Anthony Tolliver,83.8,5.3,3.3,3.2,2.8,2.7,2.5,2.3,1.2,1.2,0.9,0,NA
Fred Roberts,83.5,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.6,0.4,0.2
Bingo Smith,83.5,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,NA
Patrick Patterson,83.4,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1,NA,NA,NA
George Lynch,82.5,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0
Austin Croshere,82.4,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,1.1,0.3,0.1,0
Kris Humphries,82.3,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.6,1.5,0.7,0.2,-0.3
