Season,Team,Lg,Salary
1996-97,Detroit Pistons,NBA,"$568,000"
1997-98,Detroit Pistons,NBA,"$652,800"
1998-99,Detroit Pistons,NBA,"$737,880"
1999-00,Detroit Pistons,NBA,"$2,550,000"
2000-01,Detroit Pistons,NBA,"$2,870,000"
2001-02,Toronto Raptors,NBA,"$5,000,000"
2002-03,Toronto Raptors,NBA,"$5,250,000"
2003-04,Chicago Bulls,NBA,"$5,987,500"
2004-05,New York Knicks,NBA,"$6,187,500"
2005-06,New York Knicks,NBA,"$6,620,063"
2006-07,New York Knicks,NBA,"$7,014,400"
2007-08,New York Knicks,NBA,"$7,639,400"
Career,(may be incomplete),,"$51,077,543"
