Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jerome Williams,,7.6,5.4,5,4.8,4.5,4.3,3.5,2.6,0.2
Bill Bradley,92.6,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1
Jim Washington,91.4,6.7,5.5,5.4,4.9,4.7,4.3,3.6,1.3,0.5
Robert Reid,91.2,7.2,5.2,4.9,4.5,4.4,4.1,3.5,3,2.3
Larry Smith,90.9,6.1,5.4,5.2,4.7,4.3,4,3.7,3.1,0.3
Mike Dunleavy,90.7,8.5,5.2,5.1,4.9,4.5,4.2,2.3,1.5,0.5
Tom Meschery,90.3,7.5,5.2,4.8,4.6,4.4,4.1,3.7,3.1,3
Kenyon Martin,89.8,7.1,6.7,5.3,5,4.9,4,3.8,2.1,0
Caron Butler,89.5,7.2,6.3,5.3,5.3,5.1,4.5,3.5,2.1,1.2
Tom Gugliotta,89.0,6.7,5.4,5.3,5.2,5,3.8,3.5,1.8,1.6
Juwan Howard,89.0,7,6,5.6,4.9,4.6,4.4,2.8,2.8,1.9
