Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Aaron Gray,,1.4,1.3,1.1,0.9,0.8,0.5,0.1
John Lambert,83.0,1.8,1.5,1,0.9,0.7,0.6,0.4
Eric Leckner,81.9,1.7,1.5,0.9,0.9,0.9,0.2,0.2
Ryan Hollins,76.7,1.8,1.7,1.2,1.1,1,0.2,0.2
Jelani McCoy,72.4,1.5,1.4,1.1,1,0.1,0,0
Johan Petro,70.0,1.7,1,0.8,0.7,0.4,0.4,0.2
Walt Davis,69.8,1.6,0.9,0.9,0.8,0.6,NA,NA
Dick Cunningham,65.2,1.2,1,1,1,0,0,0
Calvin Booth,63.7,2.2,2.1,1,0.8,0.5,0.4,0.1
Rickey Brown,61.5,1.8,0.9,0.9,0.7,0.4,NA,NA
Luther Rackley,58.3,1.9,1.8,1.3,0.8,0.1,NA,NA
