Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tom Abernethy,,4.1,3.7,3.1,2,0.4,NA,NA,NA
Richaun Holmes,89.6,4.3,3.8,2.8,1.5,NA,NA,NA,NA
Andrew Wiggins,86.9,4.2,4.1,2.1,2.1,0.6,NA,NA,NA
T.J. Warren,86.3,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
Dave Meyers,83.0,5,3.9,2.4,2.2,NA,NA,NA,NA
Jason Caffey,82.2,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3
Bob Harris,82.1,5,4.3,3.4,1.9,1,NA,NA,NA
Marv Roberts,82.1,4.3,3.4,2.4,1.2,0.4,-0.2,NA,NA
Dwight Davis,82.0,3.7,3.3,2.3,1.5,0.6,NA,NA,NA
Derrek Dickey,82.0,3.8,3.1,2.3,1.7,0.3,NA,NA,NA
George Irvine,81.7,5.5,3.7,3.2,2.5,1.2,0,NA,NA
