Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Maceo Baston,,1.1,0.5,0.4,0.3
Loren Woods,86.6,1.1,0.7,0.5,0.4
Josh Powell,80.6,1.1,0.7,0.6,0.3
Cal Bowdler,75.1,1,0.5,0.2,NA
Ronald Dupree,74.8,1,0.5,0.3,0
Ray Tolbert,74.7,1.1,0.8,0.7,0.3
Tremaine Fowlkes,73.6,1.2,0.5,0.4,0
Malik Allen,72.7,1.1,0.9,0.7,0.5
Yi Jianlian,70.6,1.3,0.7,0.7,0.4
Jerrod Mustaf,70.5,0.8,0.5,0.4,0
James Michael McAdoo,69.2,1.1,0.8,0.5,0
