Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Earl Clark,,2.3,0.3,0.3,0.3,-0.1,-0.3,NA
Gerard King,73.3,2.3,0.5,0.2,NA,NA,NA,NA
Larry Spriggs,69.3,2.6,0.5,0.3,0.1,0,NA,NA
J.J. Anderson,69.0,2.3,0.2,0.1,NA,NA,NA,NA
Sean May,68.2,2.2,0.4,0.3,-0.3,NA,NA,NA
Henry James,67.8,2,0.6,0.3,0.3,0.2,0.1,0.1
Linton Johnson,65.1,1.9,0.4,0.4,0,0,0,NA
Alan Williams,64.7,2.1,0.2,0.2,0,NA,NA,NA
Bernard Thompson,63.8,2.1,0.9,0.2,0.1,0,NA,NA
Bob Quick,62.6,2.6,0.8,0.6,0.3,NA,NA,NA
Ryan Kelly,62.3,2.2,0.7,0.1,0.1,NA,NA,NA
