Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Raymond Felton,,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,2.2,1.9,1.7,0.7,0.2
Thabo Sefolosha,91.7,6.8,4.5,4.1,4,3.3,3,2.6,2.5,2.2,1.8,1.5,1.5,0.8,NA
Tony Allen,88.4,5.1,4.7,4.2,4.1,3.1,2.7,2.7,2.7,2.4,1.9,1.9,1.7,1.6,0.1
Jon Barry,88.1,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Dell Curry,87.2,5.1,5,3.8,3.4,3.3,3.2,2.7,2.6,2.2,2,1.8,1.7,0.9,0.5
Guy Rodgers,86.0,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,NA,NA
Jim Jackson,85.8,6.6,5.4,4.9,4.4,3.2,2.8,2.8,2.5,2.5,2.5,0.6,0.1,-0.8,-1.6
Jarrett Jack,85.4,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,1.2,0.9,0,NA
Greg Anthony,85.2,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,NA,NA,NA
Luke Ridnour,82.8,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.6,0.1,NA,NA
Gerald Henderson,82.7,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0,NA
