,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1959-60,23,MNL,NBA,,6,,5,6,,,5,15
1960-61,24,LAL,NBA,,8,,4,7,,,5,20
1961-62,25,LAL,NBA,,5,,4,9,,,4,14
1962-63,26,CIN,NBA,,7,,5,,,,6,16
1963-64,27,CIN,NBA,,12,21,4,6,16,,,25
1964-65,28,CIN,NBA,,8,16,2,3,10,1,4,16
1965-66,29,CIN,NBA,,5,,1,2,,,,11
1966-67,30,LAL,NBA,,5,13,3,5,8,4,6,11
1967-68,31,LAL,NBA,,9,,5,6,,,,19
1968-69,32,LAL,NBA,,8,11,2,3,8,3,5,16
Career,,,,,12,,5,,,,,25
6 Seasons,,"LAL,MNL",NBA,,9,,5,9,,,,20
4 Seasons,,CIN,NBA,,12,,5,,,,,25
