Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Tom Hawkins,,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1
J.R. Reid,90.5,3.5,3.4,3,2.5,2.5,2.1,1.8,1.8,1.1,0.7
Tom McMillen,90.3,3.9,3.7,2.9,2.9,2.7,2.5,2.4,2.2,2,0.8
Mark Bryant,89.9,3.6,3.2,2.5,2.3,2.3,2.1,2.1,1.6,1.1,1
Othella Harrington,87.9,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8
Dante Cunningham,87.6,3.5,3.4,3,2.9,2.4,2.1,2,1.9,1.9,1.6
Charles Jones,87.5,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,0
Fred Roberts,84.7,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.2
Jonas Jerebko,83.8,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4,NA
Reggie Evans,83.3,3.8,3,2.7,2.3,2.1,1.9,1.7,1.3,1.3,0.2
Anthony Tolliver,83.2,5.3,3.3,3.2,2.8,2.7,2.5,2.3,1.2,0.9,0
