Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Alec Kessler,,1.2,0.8,0.1,-0.1,NA
James Wilkes,82.9,1.1,0.8,0.1,NA,NA
Adrian Branch,80.9,1.5,0.7,0,-0.1,NA
Patrick McFarland,79.8,1.3,0.7,0.4,NA,NA
Joe Holland,79.3,1.2,0.6,0.2,NA,NA
Ben McDonald,76.7,1.3,0.7,0.3,0.2,NA
Ron Riley,76.1,1.6,0.7,0.2,0,NA
Chris McNealy,76.0,1.6,0.8,0.2,NA,NA
Kevin Loder,75.4,1.5,0.9,0.1,NA,NA
Bob McCann,74.7,1.3,0.6,0.1,0.1,0
Tremaine Fowlkes,72.3,1.2,0.5,0.4,0,NA
