Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Alec Kessler,,1.2,0.8,0.1,-0.1
Anthony Miller,90.6,1.2,0.8,0,-0.1
Jerome Lane,89.1,1.2,0.6,0.1,-0.2
James Wilkes,82.9,1.1,0.8,0.1,NA
Adrian Branch,80.9,1.5,0.7,0,-0.1
Patrick McFarland,79.8,1.3,0.7,0.4,NA
Joe Holland,79.3,1.2,0.6,0.2,NA
Ben McDonald,76.7,1.3,0.7,0.3,0.2
Ron Riley,76.1,1.6,0.7,0.2,0
Chris McNealy,76.0,1.6,0.8,0.2,NA
Bob McCann,75.6,1.3,0.6,0.1,0.1
