,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2010-11,30,IND,NBA,SG,5,72,,13%,80%,7%,,+13.1,+30.5,0,1,2,0,2,1,17,0,0
2012-13,32,MIL,NBA,SF,4,91,,,47%,53%,,-21.4,-9.2,2,1,2,0,3,1,16,1,2
2013-14,33,CHI,NBA,SF,5,163,,,100%,,,-10.2,-15.0,4,1,2,0,4,0,27,2,1
2014-15,34,CHI,NBA,SF,12,389,,,91%,9%,,+8.7,+17.2,9,3,16,2,5,2,73,3,5
2016-17,36,ATL,NBA,SF,6,53,,,95%,6%,,+0.8,+2.0,4,1,2,0,2,0,5,0,0
Career,,,NBA,,32,768,,1%,87%,12%,,+1.0,+7.4,19,7,24,2,16,4,138,6,8
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CHI,NBA,,17,552,,,94%,6%,,+3.1,+7.7,13,4,18,2,9,2,100,5,6
1 season,,ATL,NBA,,6,53,,,95%,6%,,+0.8,+2.0,4,1,2,0,2,0,5,0,0
1 season,,IND,NBA,,5,72,,13%,80%,7%,,+13.1,+30.5,0,1,2,0,2,1,17,0,0
1 season,,MIL,NBA,,4,91,,,47%,53%,,-21.4,-9.2,2,1,2,0,3,1,16,1,2
