Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ish Smith,,4.4,3.1,1.7,1.3,1,0.3,-0.1,-0.1,-0.4
Brandon Knight,90.9,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA
Roger Mason,84.2,4.7,3.4,1.9,1.4,0.9,0.2,0.1,0.1,-0.1
Al Smith,83.7,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA
Ron Lee,83.3,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA
Shannon Brown,81.7,3.4,3.1,1.6,1.2,0.7,0.1,0,-0.3,-0.5
Moochie Norris,81.5,4.4,1.8,1.7,1.7,0.8,0.3,-0.1,-0.2,-0.4
Slick Watts,80.1,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA
Lee Winfield,79.5,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA
Pep Saul,79.4,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA
Al Skinner,79.2,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA
