Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,SFW,NBA,PF,44,257,8.1,0.416,NA,0.324,NA,NA,NA,7,NA,NA,NA,NA,NA,-0.3,0.4,0.2,0.031
1968-69,25,PHO,NBA,PF,68,987,12,0.463,NA,0.47,NA,NA,NA,6.6,NA,NA,NA,NA,NA,0.2,0.3,0.6,0.028
1970-71,27,PTC,ABA,PF,71,1135,13.2,0.508,0.003,0.469,NA,NA,17.4,7,NA,NA,19.6,17.5,NA,0.8,1.2,2,0.084
1971-72,28,PTC,ABA,PF,64,1482,16.9,0.566,0.002,0.4,8.4,14.7,11.6,4.6,NA,NA,13.2,20.2,NA,3.3,-0.1,3.2,0.103
1972-73,29,MMT,ABA,PF,16,296,9.2,0.525,0.01,0.433,6.7,14.1,10.3,3.2,NA,NA,20.5,20.4,NA,0.3,0.1,0.4,0.059
Career,NA,,TOT,,263,4157,13.6,0.515,0.002,0.431,8.1,14.6,13.7,5.8,NA,NA,16.3,19.1,NA,4.3,2,6.3,0.072
,NA,,ABA,,151,2913,14.6,0.542,0.003,0.427,8.1,14.6,13.7,5.4,NA,NA,16.3,19.1,NA,4.3,1.2,5.5,0.091
,NA,,NBA,,112,1244,11.2,0.453,NA,0.438,NA,NA,NA,6.7,NA,NA,NA,NA,NA,0,0.8,0.7,0.028
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PTC,ABA,,135,2617,15.3,0.544,0.002,0.427,8.4,14.7,14.1,5.7,NA,NA,15.8,19,NA,4.1,1.1,5.2,0.095
1 season,NA,PHO,NBA,,68,987,12,0.463,NA,0.47,NA,NA,NA,6.6,NA,NA,NA,NA,NA,0.2,0.3,0.6,0.028
1 season,NA,SFW,NBA,,44,257,8.1,0.416,NA,0.324,NA,NA,NA,7,NA,NA,NA,NA,NA,-0.3,0.4,0.2,0.031
1 season,NA,MMT,ABA,,16,296,9.2,0.525,0.01,0.433,6.7,14.1,10.3,3.2,NA,NA,20.5,20.4,NA,0.3,0.1,0.4,0.059
