,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,24,SFW,NBA,,3,8,,,,,4,6,,,8,2,,,,6,10
1968-69,25,PHO,NBA,,8,15,,,,,10,13,,,16,4,,,,6,20
1970-71,27,PTC,ABA,,10,,0,,,,6,10,,,,,,,,,24
1971-72,28,PTC,ABA,,17,,0,,,,10,15,,,,,,,,,40
1972-73,29,MMT,ABA,,12,,0,,,,5,7,,,,,,,,,27
Career,,,TOT,,17,,,,,,10,15,,,,,,,,,40
,,,NBA,,8,15,,,,,10,13,,,16,4,,,,6,20
,,,ABA,,17,,0,,,,10,15,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,PTC,ABA,,17,,0,,,,10,15,,,,,,,,,40
1 Season,,PHO,NBA,,8,15,,,,,10,13,,,16,4,,,,6,20
1 Season,,SFW,NBA,,3,8,,,,,4,6,,,8,2,,,,6,10
1 Season,,MMT,ABA,,12,,0,,,,5,7,,,,,,,,,27
