Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dave Lattin,,3.2,2,0.6,0.4,0.2
Terry Davis,94.2,3.1,2,0.5,0.4,-0.1
Stanislav Medvedenko,91.4,3,1.8,0.5,0.4,0.1
Barney Cable,89.3,3.3,1.6,0.7,0.4,0.1
Lorenzo Williams,85.5,3.1,1.7,1.1,0.4,0.3
Lou Amundson,84.4,2.9,1.8,0.6,0.1,0.1
Lee Nailon,82.4,3.5,2.2,0.9,0.7,0.3
Darius Miller,82.2,3,1.6,0.8,0.5,-0.1
Matt Bullard,81.9,3.4,2.4,1,0.6,0.2
Juan Hernangómez,81.8,3,1.8,0.4,NA,NA
DerMarr Johnson,81.3,3.2,1.7,1.3,0.4,0
