Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dave Lattin,,3.2,2,0.6,0.4,0.2,NA,NA
Stanislav Medvedenko,90.6,3,1.8,0.5,0.4,0.2,0.1,0
Barney Cable,87.0,3.3,1.6,0.7,0.4,0.3,0.1,NA
Darius Miller,82.2,3,1.6,0.8,0.5,-0.1,NA,NA
Juan Hernangómez,81.8,3,1.8,0.4,NA,NA,NA,NA
Reggie Williams,80.9,3.7,1.7,0.3,0.3,0.2,0.2,0
Mike Farmer,80.4,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Paul Graham,79.0,3.6,1.9,0.2,NA,NA,NA,NA
DerMarr Johnson,79.0,3.2,1.7,1.3,0.4,0.1,0,-0.3
Dave Sorenson,78.6,2.6,2.1,0.7,NA,NA,NA,NA
Lorenzo Williams,78.5,3.1,1.7,1.1,0.4,0.4,0.3,0.3
