Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Adrian Griffin,,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0
Calbert Cheaney,89.0,4.1,3.9,3.2,3.2,1.2,1.2,0.8,0.4,-0.1
Mike Dunleavy,87.1,3.4,3.1,3,2.6,1.4,1.4,1,0.2,0.1
Jamaal Tinsley,86.6,4.4,3.7,2.8,2.8,1.7,0.8,0.7,0.1,-0.3
Art Williams,86.0,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0,NA
Jim King,85.8,3.7,3.5,2.5,2.3,1.5,1.3,1.1,0.4,-0.1
Kelvin Ransey,85.0,3.8,3.7,3.4,2.8,2.2,2,NA,NA,NA
Devean George,84.7,4.2,3.4,2.7,2.6,2.1,0.7,0.7,0.3,-0.3
Billy McKinney,84.4,3.4,3.3,3,2.7,2.3,0.9,0.1,NA,NA
Daniel Gibson,83.8,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA
Tyronn Lue,83.8,3.7,3.7,2.7,2.5,2.1,2,0.4,0.3,0.2
