,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1953-54,23,BLB,NBA,,15,,14,,,,,35
1954-55,24,NYK,NBA,,12,,12,16,,,6,31
1955-56,25,NYK,NBA,,10,,15,17,,,6,32
1956-57,26,NYK,NBA,,10,,11,15,,,6,26
1957-58,27,NYK,NBA,,12,,10,12,,,,33
1958-59,28,NYK,NBA,,10,,10,15,,,,24
1959-60,29,TOT,NBA,,10,,7,8,,,,21
1959-60,29,NYK,NBA,,10,,4,6,,,,21
1959-60,29,MNL,NBA,,8,,7,8,,,,16
1960-61,30,LAL,NBA,,8,,9,10,,,6,20
1961-62,31,LAL,NBA,,8,,5,,,,,18
Career,,,,,15,,15,,,,,35
6 Seasons,,NYK,NBA,,12,,15,17,,,,33
3 Seasons,,"LAL,MNL",NBA,,8,,9,,,,,20
1 Season,,BLB,NBA,,15,,14,,,,,35
