Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ray Felix,,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA,NA
Enes Kanter,93.1,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA,NA
Tom Boerwinkle,88.5,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,NA
Emeka Okafor,85.9,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1,NA
Elmore Smith,85.6,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA
DeMarcus Cousins,84.3,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA,NA
Nikola Vučević,83.7,10.1,7,5.7,5.2,4.4,4,3.6,1.8,NA,NA,NA
Joe Barry Carroll,81.9,7,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0,NA
Chuck Share,81.9,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA,NA
Andrew Bynum,80.9,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA,NA,NA
Robin Lopez,79.7,9.5,5.8,5.6,5.1,4.3,3.2,2.7,2.1,1.9,1.5,1.1
