Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ray Felix,,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8
Enes Kanter,93.1,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA
Tom Boerwinkle,88.8,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5
Emeka Okafor,87.3,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1
Marcus Camby,86.4,10.3,6.9,5.9,5.8,3.7,3.5,2.1,1.5,0.9
Sam Lacey,86.3,7.7,7.4,6.5,5.6,5,4.3,2.7,1.2,0.3
Andrew Bogut,86.2,7.5,6.5,5.5,5.4,4.8,4,2.6,1.7,0.5
Robin Lopez,85.8,9.5,5.8,5.6,5.1,4.3,3.2,2.1,1.5,1.1
Mike Gminski,85.6,9.2,7,6.5,6.1,5.4,4.3,4,1.8,1.5
Elmore Smith,85.6,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA
Darryl Dawkins,84.4,7.9,6.4,6.3,5.7,4.6,4,2.9,2.1,0.1
