Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jaylen Brown,,4.5,3,1.5,NA,NA,NA,NA
Sam Smith,92.8,4.6,3.3,1.4,0.2,NA,NA,NA
Larry Stewart,90.8,4.7,2.9,1.6,0.5,0.1,NA,NA
Dāvis Bertāns,86.7,4,3.1,2.3,NA,NA,NA,NA
Zeke Zawoluk,85.8,3.9,2.5,1.7,NA,NA,NA,NA
Leonard Gray,83.0,4.1,4,1.8,NA,NA,NA,NA
Tony Jaros,82.2,4.4,2.2,1.3,0.6,NA,NA,NA
Don Boven,80.4,3.8,2.2,1.5,NA,NA,NA,NA
Collis Jones,80.1,4.2,3.2,2.1,1.2,NA,NA,NA
Sonny Dove,79.9,4.3,3,0.4,0,-0.5,NA,NA
Ime Udoka,79.8,3.9,2.8,1.3,0.8,0,0,0
