Thru 16 Years,Thru 16 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Kyle Korver,,7.5,6.6,6.4,5.9,5.3,5.1,4.6,4.6,4.2,4.1,3.7,3.7,3.4,2.6,2.3,1
Lou Williams,87.3,6.7,6.6,6.1,6.1,5.2,5.1,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1,NA,NA
Joe Johnson,86.1,8.4,7.6,7.6,7,6.4,6,5.1,5.1,4.9,4.2,4.1,3.8,3.3,3,2.8,2.7
David Wesley,85.1,7.6,7,6.3,6.1,6.1,5.8,5.2,4.8,3.6,2.8,2.6,2.6,0.6,0.3,NA,NA
J.J. Redick,84.3,6.7,6.7,6.6,6.5,5.9,5.2,4.8,4.5,4.5,3,2.3,1.7,0.5,NA,NA,NA
Ron Harper,84.1,10.2,7.2,6.3,6,5.7,5.6,4.2,4,3.9,3.5,2.9,2.4,1.8,1.2,0.9,NA
Reggie Theus,84.0,9.2,6.9,6.5,6.4,6.2,5.9,5.3,4.7,4.6,3.7,3.2,2.5,1.8,NA,NA,NA
Derek Fisher,83.6,6.3,5.8,5.7,5.5,5.2,3.9,3.9,3.8,3.7,3.7,3.1,2.4,1.8,1.7,1.2,1.1
Tyrone Corbin,82.8,6.8,6.7,5.6,5.5,5.4,5.4,5,4.4,3,2.5,2.2,2.1,1.2,0.9,0.1,-0.3
Jamal Crawford,82.5,7.3,5.4,5.3,5,4.5,4.2,4.1,3.6,3.4,3.3,3.3,3.1,2.8,2.3,0.6,-0.9
Danny Ainge,82.0,8.6,6.8,6.7,6.7,6.6,6.2,6.2,5.2,5.2,4.8,3.4,2.8,1.8,0.5,NA,NA
