Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Steve Stipanovich,,9,6.9,5.9,5,3.6,NA,NA,NA,NA,NA
George Ratkovicz,90.7,9.3,6,5.4,5.2,2.8,-0.1,NA,NA,NA,NA
Elmore Smith,85.8,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA
Hassan Whiteside,81.2,10.3,9.5,6.3,5.3,5.3,0.2,0,NA,NA,NA
Stan Miasek,81.0,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA,NA,NA
Neal Walk,79.2,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,NA,NA
Tom Boerwinkle,78.8,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2
Steven Adams,77.4,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA,NA,NA
Jeff Ruland,76.8,10.1,9.3,7.8,3.5,3.3,0.3,0,0,NA,NA
Andrew Bynum,76.5,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA,NA
Ray Felix,76.4,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA
