Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Steve Stipanovich,,9,6.9,5.9,5,3.6
Joakim Noah,93.6,9,6.7,6.4,6.2,3.8
Tree Rollins,92.9,9.2,6.4,6.4,5,2.6
Mychal Thompson,92.5,8.2,6.9,5.4,5.3,4.4
Ray Felix,91.1,8.6,7.2,5.8,5.5,5.5
George Ratkovicz,91.1,9.3,6,5.4,5.2,2.8
Red Kerr,90.9,8.7,5.8,5.4,5,4.6
Caldwell Jones,89.9,8.1,7.6,6.2,4.4,3.1
Vlade Divac,89.5,8.3,7.4,5.6,5,1.8
Steven Adams,89.2,9.7,6.5,6.5,4.1,2.9
Rich Kelley,89.1,8.6,6.4,4.8,4.3,4.3
