Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Donald Sloan,,2,2,0.3,0.1,-0.3,NA
Rodrigue Beaubois,84.1,2.2,2,0.4,0.2,NA,NA
Eric Maynor,81.2,1.9,1.5,0.2,0.1,-0.4,NA
Álex Abrines,76.1,2.2,2.1,0.6,NA,NA,NA
Steve Bracey,75.2,2.1,1.5,0.3,NA,NA,NA
Quinn Cook,72.6,1.8,1.6,0.2,NA,NA,NA
Maurice McHartley,70.2,2.4,1.8,0.8,NA,NA,NA
Fred LaCour,68.1,1.7,1.7,-0.1,NA,NA,NA
Richie Regan,68.0,1.6,1.5,0.4,NA,NA,NA
Chris Quinn,66.0,2.6,2.1,0.6,0.1,0.1,-0.2
Sidney Lowe,65.3,1.7,1.5,0.5,0.3,NA,NA
