Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Donald Sloan,,2,2,0.3,0.1,-0.3
Em Bryant,86.7,2,1.9,0.5,0.1,-0.7
Rodrigue Beaubois,84.1,2.2,2,0.4,0.2,NA
Eric Maynor,81.2,1.9,1.5,0.2,0.1,-0.4
David Wingate,76.9,1.9,1.4,0.2,0.1,-0.5
Álex Abrines,76.1,2.2,2.1,0.6,NA,NA
Steve Bracey,75.2,2.1,1.5,0.3,NA,NA
Quinn Cook,72.6,1.8,1.6,0.2,NA,NA
Johnny McCarthy,71.2,2.6,1.9,0.5,-0.1,-0.4
Maurice McHartley,70.2,2.4,1.8,0.8,NA,NA
Alan Anderson,69.9,1.7,1.6,0.4,0.3,0.1
