Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Brian Roberts,,2.2,2.2,1.8,1,0.2,NA,NA
Jerry Fleishman,89.7,2.2,2.1,1.6,1.3,0.6,NA,NA
Leon Wood,86.2,2.2,2,1.9,0.6,0.3,-0.2,NA
Tim Frazier,84.4,2.4,2,1.4,1,-0.1,NA,NA
Med Park,83.1,1.9,1.9,1.8,1.6,0.4,NA,NA
Dave Wohl,82.1,2.1,1.7,1.4,1,0.2,0,-0.2
Gordan Giriček,80.8,2.4,1.9,1.8,1.6,0.5,-0.2,NA
Greg Minor,80.3,3,2.1,1.7,0.8,0.6,NA,NA
Jonathon Simmons,80.3,2,2,1.9,0.3,NA,NA,NA
Nelson Bobb,79.4,2,1.8,1.2,1.1,NA,NA,NA
Joe Hassett,79.4,2,1.6,1.4,0.9,0.5,0,NA
