Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Kenneth Faried,,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA
Lonnie Shelton,91.6,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,NA
Jim Pollard,89.8,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA,NA
Wil Jones,89.6,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
Loy Vaught,89.0,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1,0.5,0.2,-0.2
Tobias Harris,88.4,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA,NA,NA
Jerome Williams,87.9,7.6,5.4,5,4.8,4.5,4.3,3.5,2.6,0.2,NA,NA
Cincinnatus Powell,87.8,8.1,7,6.8,6.4,5.4,4.3,3,0.1,NA,NA,NA
Gus Johnson,87.0,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA
Raef LaFrentz,86.7,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2,NA
Sidney Wicks,86.7,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,NA
