Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dwight Buycks,,0.2,0.1,0,NA
Gerald Madkins,78.9,0.3,0.1,0,NA
Dominique Jones,72.0,0.2,0,0,NA
A.J. Guyton,68.8,0.3,0.1,-0.1,NA
Michael Hawkins,64.7,0.2,0,0,0
Michael Phelps,59.9,0.3,0.1,-0.1,NA
Jarell Eddie,56.7,0.1,0.1,0,NA
Malcolm Lee,55.4,0.4,0.1,0,NA
R.J. Hunter,54.5,0.3,0.1,0,0
Awvee Storey,50.9,0.2,0.1,0,NA
Dave Jamerson,47.4,0.2,0.1,-0.1,NA
