Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Levern Tart,,10.9,5.8,1.9,1.2,NA,NA,NA,NA,NA
Willie Somerset,72.1,9.4,5.3,0.1,NA,NA,NA,NA,NA,NA
Al Cervi,70.1,9.3,5.3,5.3,2.1,NA,NA,NA,NA,NA
Buddy Jeannette,69.9,8.2,4.9,2.6,NA,NA,NA,NA,NA,NA
George Lehmann,69.0,7.3,5.9,2.5,2.3,0.7,0,0,NA,NA
Dražen Petrović,68.3,8.4,7.7,2.8,2.5,NA,NA,NA,NA,NA
Charles Beasley,67.3,8,4.1,2.6,0.7,NA,NA,NA,NA,NA
Lance Stephenson,63.9,7.4,5.5,2.2,1.8,1.1,0.1,-0.2,-0.3,-0.9
Bojan Bogdanović,60.3,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA
Josh Richardson,58.1,5.6,5.4,2.5,2.2,NA,NA,NA,NA,NA
Stephen Chubin,56.0,6.9,4,1.7,NA,NA,NA,NA,NA,NA
