Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,TOT,ABA,SG,73,NA,2853,8,18.9,0.422,0,0.2,0.067,8,18.7,0.426,5.7,7.1,0.797,NA,NA,5,3.1,3.5,2.7,21.7
1967-68,25,OAK,ABA,SG,42,NA,1768,8.6,20,0.428,0,0.2,0.083,8.6,19.8,0.433,5.8,7.5,0.779,NA,NA,5.6,3,4,2.5,23
1967-68,25,NJA,ABA,SG,31,NA,1085,7,17.2,0.41,0,0.1,0,7,17.1,0.412,5.5,6.6,0.829,NA,NA,4,3.4,2.7,3,19.5
1968-69,26,TOT,ABA,SG,61,NA,1403,7,16.7,0.422,0,0.1,0,7,16.6,0.424,5,6.5,0.757,2.6,2.4,5,3.7,3.8,3.6,19
1968-69,26,NYA,ABA,SG,35,NA,920,7.4,16.7,0.445,0,0,0,7.4,16.7,0.446,5.2,6.7,0.782,2.7,2.3,5,3.4,3.4,3.3,20.1
1968-69,26,HSM,ABA,SG,6,NA,138,7.3,16.4,0.444,0,0,NA,7.3,16.4,0.444,4.7,7.6,0.621,1.8,2.3,4.2,3.1,5,4.2,19.3
1968-69,26,DNR,ABA,SG,20,NA,345,5.8,16.6,0.352,0,0.2,0,5.8,16.4,0.357,4.4,5.8,0.75,2.6,2.7,5.3,4.6,4.4,4.2,16.1
1969-70,27,NYA,ABA,SG,80,NA,3210,8.5,17.1,0.495,0.1,0.4,0.314,8.4,16.7,0.499,4.6,5.9,0.783,2.8,3.3,6.1,3,2.8,3,21.7
1970-71,28,TOT,ABA,SG,60,NA,1806,7.1,17.2,0.414,0.2,0.7,0.294,6.9,16.5,0.419,3.9,5,0.783,2.1,2.7,4.8,3.5,3.3,3.4,18.4
1970-71,28,NYA,ABA,SG,27,NA,985,7,16.6,0.424,0.1,0.3,0.444,6.9,16.2,0.423,3.7,4.9,0.767,1.9,2,3.9,2.7,3.2,3.1,17.9
1970-71,28,TEX,ABA,SG,33,NA,821,7.2,17.9,0.403,0.3,1.1,0.24,7,16.8,0.414,4.2,5.3,0.8,2.2,3.6,5.8,4.4,3.5,3.8,18.9
Career,NA,,ABA,,274,NA,9272,7.8,17.6,0.445,0.1,0.3,0.253,7.8,17.3,0.449,4.9,6.2,0.784,2.6,2.9,5.3,3.2,3.3,3.1,20.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"NJA,NYA",ABA,,173,NA,6200,7.8,17,0.462,0.1,0.3,0.313,7.8,16.7,0.464,4.7,6,0.79,2.6,2.9,5.2,3.1,2.9,3.1,20.5
1 season,NA,OAK,ABA,,42,NA,1768,8.6,20,0.428,0,0.2,0.083,8.6,19.8,0.433,5.8,7.5,0.779,NA,NA,5.6,3,4,2.5,23
1 season,NA,TEX,ABA,,33,NA,821,7.2,17.9,0.403,0.3,1.1,0.24,7,16.8,0.414,4.2,5.3,0.8,2.2,3.6,5.8,4.4,3.5,3.8,18.9
1 season,NA,DNR,ABA,,20,NA,345,5.8,16.6,0.352,0,0.2,0,5.8,16.4,0.357,4.4,5.8,0.75,2.6,2.7,5.3,4.6,4.4,4.2,16.1
1 season,NA,HSM,ABA,,6,NA,138,7.3,16.4,0.444,0,0,NA,7.3,16.4,0.444,4.7,7.6,0.621,1.8,2.3,4.2,3.1,5,4.2,19.3
