,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,TOT,ABA,,15,,1,,,,19,22,,,,,,,49
1967-68,25,OAK,ABA,,15,,1,,,,19,22,,,,,,,49
1967-68,25,NJA,ABA,,15,,0,,,,12,13,,,,,,,39
1968-69,26,TOT,ABA,,15,,0,,,,13,14,,,,,,,36
1968-69,26,NYA,ABA,,15,,0,,,,13,14,,,,,,,36
1968-69,26,HSM,ABA,,9,,0,,,,6,8,,,,,,,20
1968-69,26,DNR,ABA,,9,,0,,,,6,9,,,,,,,22
1969-70,27,NYA,ABA,,21,,2,,,,15,18,,,,,,,45
1970-71,28,TOT,ABA,,18,,2,,,,11,12,,,,,,,40
1970-71,28,NYA,ABA,,18,,1,,,,8,9,,,,,,,39
1970-71,28,TEX,ABA,,16,,2,,,,11,12,,,,,,,40
Career,,,,,21,,2,,,,19,22,,,,,,,49
4 Seasons,,"NJA,NYA",ABA,,21,,2,,,,15,18,,,,,,,45
1 Season,,OAK,ABA,,15,,1,,,,19,22,,,,,,,49
1 Season,,TEX,ABA,,16,,2,,,,11,12,,,,,,,40
1 Season,,DNR,ABA,,9,,0,,,,6,9,,,,,,,22
1 Season,,HSM,ABA,,9,,0,,,,6,8,,,,,,,20
