Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Levern Tart,,10.9,5.8,1.9,1.2
Gilbert Arenas,84.6,11.5,6.5,2.7,2.6
Paul Westphal,82.1,9.6,5.1,3.2,1.4
Derek Anderson,81.8,9.9,5.3,3.3,2.1
World B. Free,81.6,10.1,6,4.6,1.5
Kobe Bryant,79.7,10.6,6.3,5.2,1.8
Stephen Curry,79.6,11.2,6.6,4.7,2.2
Don Buse,75.6,10.6,4.6,4.4,2.6
Derek Harper,74.9,9.4,6.2,5.4,1.3
Micheal Williams,74.6,9,5.7,0.7,-0.2
Wesley Person,74.3,10.3,5.2,4,3.8
