,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,23,DLC,ABA,,7,,0,,,,2,5,,,,,,,,,16
1970-71,24,TEX,ABA,,5,,1,,,,5,8,,,,,,,,,16
1971-72,25,DLC,ABA,,6,,1,,,,1,3,,,,,,,,,14
1973-74,27,SAA,ABA,,12,,1,,,,8,9,,,,,,,,,28
1974-75,28,SAA,ABA,,8,,1,,,,1,2,,,,,,,,,17
1975-76,29,NYA,ABA,,10,,1,,,,5,6,,,,,,,,,25
Career,,,,,12,,1,,,,8,9,,,,,,,,,28
5 Seasons,,"DLC,SAA,TEX",ABA,,12,,1,,,,8,9,,,,,,,,,28
1 Season,,NYA,ABA,,10,,1,,,,5,6,,,,,,,,,25
