,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,23,DLC,ABA,,6,,0,,,,9,9,,,,,,,,,15
1970-71,24,TEX,ABA,,11,,3,,,,8,10,,,,,,,,,31
1971-72,25,DLC,ABA,,11,,3,,,,13,16,,,,,,,,,28
1972-73,26,DLC,ABA,,18,,3,,,,11,13,,,,,,,,,39
1973-74,27,SAA,ABA,,13,,2,,,,10,12,,,,,,,,,36
1974-75,28,SAA,ABA,,13,,2,,,,12,14,,,,,,,,,34
1975-76,29,NYA,ABA,,12,,2,,,,11,14,,,,,,,,,27
1976-77,30,NYN,NBA,,9,,,,,,7,9,,,,,,,,,21
Career,,,TOT,,18,,,,,,13,16,,,,,,,,,39
,,,NBA,,9,,,,,,7,9,,,,,,,,,21
,,,ABA,,18,,3,,,,13,16,,,,,,,,,39
,,,,,,,,,,,,,,,,,,,,,
6 Seasons,,"DLC,SAA,TEX",ABA,,18,,3,,,,13,16,,,,,,,,,39
2 Seasons,,"NYA,NYN",ABA,,12,,,,,,11,14,,,,,,,,,27
