Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Rich Jones,,6.6,6.3,5.8,1.9,1.8,1.5,0.6,0.2,NA,NA,NA
Sonny Parker,86.7,7,6.8,6.2,3,2.3,1.6,NA,NA,NA,NA,NA
Jay Vincent,84.0,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,NA,NA
Greg Smith,81.9,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0,NA,NA,NA
Joe Ingles,80.5,7.6,6,5,2.3,2.2,NA,NA,NA,NA,NA,NA
Bison Dele,78.3,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA
Mitch Kupchak,78.0,5.9,5.9,5.2,4.9,2.4,1.4,1.1,0.2,0,NA,NA
Khris Middleton,78.0,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA,NA,NA,NA
Clark Kellogg,77.0,7,6.8,6.1,0.9,0.1,NA,NA,NA,NA,NA,NA
Chuck Hayes,76.7,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0
Curtis Perry,76.5,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA,NA
