Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Larry Demic,,1.6,-0.1,-0.1
LeRon Ellis,86.1,1.6,-0.1,-0.2
Damian Jones,73.3,1.5,0.1,0
John Rudometkin,70.5,1.6,-0.1,-0.5
Perry Jones,69.5,1.5,0.2,0
Brian Evans,68.6,1.5,0.1,0.1
Dick Ricketts,63.2,2,0.1,0
Art Long,61.3,1.4,-0.1,-0.3
Damjan Rudež,61.1,1.3,0.1,0.1
Dean Tolson,60.0,2,0.2,0
Red Morrison,59.6,1.7,0.5,0
