Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Steven Adams,,9.7,9.1,6.5,6.5,4.1,2.9
Swen Nater,93.6,9.7,8.7,6.9,6.8,5.5,3.1
Tree Rollins,90.8,9.2,7.3,6.4,6.4,5,2.6
Mehmet Okur,90.3,9.3,8.8,7,6.7,5.9,3.8
Vlade Divac,88.9,9.5,8.3,7.4,5.6,5,1.8
Arvydas Sabonis,88.7,9.7,8.4,7.5,7.1,5.8,3.7
Jim Eakins,86.5,9,8.5,7.4,7.4,6.6,2.9
Joakim Noah,86.0,9,7.3,6.7,6.4,6.2,3.8
Arnie Risen,85.9,10.6,9.3,7.8,6.8,5.8,4.6
Caldwell Jones,85.3,8.1,7.6,6.2,5,4.4,3.1
Robert Parish,85.3,10.9,10,7.1,4.8,4.6,4
