Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Steven Adams,,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA,NA,NA
Hassan Whiteside,85.3,10.3,9.5,6.3,5.3,5.3,0.2,0,NA,NA,NA
Andrew Bynum,83.5,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA,NA
Elmore Smith,80.2,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA
Arvydas Sabonis,80.0,9.7,8.4,7.5,7.1,5.8,4.9,3.7,NA,NA,NA
Jeff Ruland,79.7,10.1,9.3,7.8,3.5,3.3,0.3,0,0,NA,NA
Chuck Share,78.3,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA
Enes Kanter,77.6,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA
Steve Stipanovich,77.4,9,6.9,5.9,5,3.6,NA,NA,NA,NA,NA
Tom Boerwinkle,76.9,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2
Stan Miasek,75.4,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA,NA,NA
