Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
David Thompson,,12.7,12.4,10.7,9.5,6.4,5.4,3,2,1,NA,NA,NA,NA,NA
Larry Jones,84.7,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3,NA,NA,NA,NA,NA,NA
Anfernee Hardaway,81.8,14.4,10.7,8.1,7.8,7.1,5,2.9,2.3,2,1.1,0.4,0.2,0.2,-0.2
Damian Lillard,81.8,12.6,12.1,10.6,10.4,9.6,9.2,5.8,NA,NA,NA,NA,NA,NA,NA
Terrell Brandon,81.3,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.7,3.2,2.9,0.9,NA,NA,NA
James Silas,80.5,13.1,9.8,7.9,7.4,7,5.7,5.5,2.4,0.7,0.6,NA,NA,NA,NA
Steve Francis,80.4,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,NA,NA,NA,NA,NA
Bobby Wanzer,79.5,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA,NA,NA,NA,NA
Paul Westphal,79.4,10.5,10.4,9.8,9.6,9.6,5.1,3.7,3.2,2.4,1.5,1.4,0.3,NA,NA
Mookie Blaylock,78.9,12.5,10.2,9.4,9,7,5.6,4.9,4.7,3.5,3.3,2.1,-0.1,-0.3,NA
Kyrie Irving,78.7,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA,NA,NA,NA
