Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
David Thompson,,12.7,12.4,10.7,9.5,6.4,5.4,3,2,1
Tiny Archibald,91.0,14.2,12.9,11.2,8.9,8,5.1,2.8,2.3,1.6
Chauncey Billups,87.6,15.5,12.1,11.3,9.9,7.6,3.7,3,2.3,0.1
Mookie Blaylock,87.5,12.5,10.2,9.4,9,7,5.6,4.9,2.1,-0.3
Steve Nash,87.0,11.6,10.9,9.9,8.8,8.4,4.8,3,1,0.7
Larry Jones,84.7,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3,NA
Paul Westphal,84.6,10.5,10.4,9.8,9.6,9.6,5.1,3.2,2.4,1.4
Tim Hardaway,84.0,12.9,11.7,9.9,9.2,7.5,7.3,5.4,5.1,3.3
Mark Price,83.1,11.3,10.1,10,9.8,9.1,7.8,4.2,2,1.1
Kevin Johnson,82.8,12.7,12.2,11.6,10,8.7,8.2,5.1,4.8,4
Anfernee Hardaway,82.7,14.4,10.7,8.1,7.8,7.1,5,2.9,1.1,0.4
