Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Mike Sweetney,,3.8,2.1,1.4,0.4,NA,NA,NA
Don Boven,93.4,3.8,2.2,1.5,NA,NA,NA,NA
Trey Lyles,90.2,3.9,2.3,1.2,0.8,NA,NA,NA
Kelly Oubre,90.2,3.7,2.2,2,0.4,NA,NA,NA
Greg Kelser,89.6,3.9,2.5,1.4,0.8,0.1,0,NA
Tony Jaros,88.0,4.4,2.2,1.3,0.6,NA,NA,NA
Willie Long,88.0,3.5,2.1,1.2,NA,NA,NA,NA
Boštjan Nachbar,87.1,4.1,2.2,1.7,0.8,0.1,-0.1,NA
Zeke Zawoluk,86.0,3.9,2.5,1.7,NA,NA,NA,NA
Ime Udoka,83.8,3.9,2.8,1.3,0.8,0,0,0
Andy Johnson,82.9,4.6,1.8,1.3,0.3,NA,NA,NA
