,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2003-04,21,NYK,NBA,PF,42,494,.493,5.6,.993,.507,.264,.121,.100,.007,.496,.676,.270,.412,.286,.000,.536,.079,10,,.000,,1,0
2004-05,22,NYK,NBA,C,77,1509,.531,4.2,.998,.621,.200,.101,.076,.002,.533,.650,.348,.356,.294,.000,.586,.067,29,,.000,,0,0
2005-06,23,CHI,NBA,C,66,1222,.450,5.6,1.000,.489,.270,.126,.115,.000,.450,.535,.417,.321,.314,,.605,.032,12,,,,0,0
2006-07,24,CHI,NBA,C,48,385,.433,3.2,1.000,.612,.291,.075,.022,.000,.433,.573,.128,.500,.333,,.603,.060,7,,,,0,0
Career,,,NBA,,233,3610,.485,4.8,.998,.556,.245,.110,.088,.002,.485,.604,.337,.359,.304,.000,.589,.054,58,,.000,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NYK,NBA,,119,2003,.522,4.5,.997,.594,.215,.106,.082,.003,.524,.655,.325,.371,.292,.000,.575,.070,39,,.000,,1,0
2 seasons,,CHI,NBA,,114,1607,.446,5.0,1.000,.517,.275,.114,.093,.000,.446,.545,.346,.348,.315,,.605,.038,19,,,,0,0
