,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2013-14,20,PHO,NBA,C,42,362,,,,,100%,-8.4,-12.0,9,5,34,4,13,0,10,3,7
2014-15,21,PHO,NBA,C,69,1518,,,,,100%,-0.6,+0.7,26,17,115,19,55,7,77,18,31
2015-16,22,PHO,NBA,C,78,1821,,,,,100%,-8.0,-1.3,37,52,111,31,113,2,231,21,60
2016-17,23,PHO,NBA,C,77,1560,,,,,100%,-11.3,-8.9,34,22,110,34,96,1,99,20,47
2017-18,24,PHO,NBA,C,69,1395,,,,,100%,-8.6,+1.6,31,14,75,26,110,2,196,28,43
2018-19,25,ATL,NBA,C,77,1544,,,,,100%,-4.9,+1.6,28,14,108,29,101,0,205,19,45
2019-20,26,TOT,NBA,C,49,895,,,,,100%,-6.0,-1.1,12,16,69,15,45,1,116,9,21
2019-20,26,ATL,NBA,C,40,745,,,,,100%,-8.8,-1.1,9,13,57,11,39,1,103,7,18
2019-20,26,SAC,NBA,C,9,150,,,,,100%,+7.9,+10.4,3,3,12,4,6,0,13,2,3
Career,,,NBA,,461,9095,,,,,100%,-6.7,-1.7,177,140,622,158,533,13,934,118,254
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHO,NBA,,335,6656,,,,,100%,-7.2,-2.6,137,110,445,114,387,12,613,90,188
2 seasons,,ATL,NBA,,117,2289,,,,,100%,-6.2,+0.7,37,27,165,40,140,1,308,26,63
1 season,,SAC,NBA,,9,150,,,,,100%,+7.9,+10.4,3,3,12,4,6,0,13,2,3
