Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Alex Len,,4.5,3.4,3.2,3,1.3,0.2
Kurt Nimphius,92.4,4.8,3.3,3.1,2.9,1.5,0.7
Nerlens Noel,89.4,4.3,4,4,3,1.3,NA
Rick Roberson,89.2,3.6,3.5,3.2,3,1,0.4
Aron Baynes,87.6,4.1,3.9,3,3,0.6,0.1
Zaza Pachulia,87.6,4.8,3.9,3.9,2.9,1.1,0.3
Jim Davis,87.1,4.3,3.8,3.5,2.3,0.9,0.2
Bob Ferry,86.9,4.9,3.9,3.1,2.7,1.4,1.2
George Johnson,86.8,5,3.6,3.5,3.4,2,0.3
Ira Harge,86.0,4,3.5,3.4,2.7,2.6,0
Bismack Biyombo,84.2,5.9,4,3.2,2.9,1.4,0.6
