Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Alex Len,,4.5,3.4,3.2,3,1.3,0.2,NA,NA
Nerlens Noel,89.4,4.3,4,4,3,1.3,NA,NA,NA
Rick Roberson,89.0,3.6,3.5,3.2,3,1,0.4,0,NA
Kurt Nimphius,87.3,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1
Ira Harge,86.0,4,3.5,3.4,2.7,2.6,0,NA,NA
Aron Baynes,84.7,4.1,3.9,3,3,2.4,0.6,0.1,NA
Dewayne Dedmon,81.4,5.2,4,3.7,2.4,1.7,0.6,NA,NA
Blair Rasmussen,79.5,5.2,4.2,3.3,3,1.8,1.7,0,-0.1
John Henson,78.6,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA
Leon Douglas,77.7,3.6,3.2,3.1,2.1,2.1,1,0,NA
Bryant Reeves,77.4,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA
