Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1971-72,22,FLO,ABA,PF,7,30,5.7,0.416,0,0.462,12.7,32.9,22.6,18.1,NA,27.7,27.9,NA,-0.1,0,0,-0.021
Career,NA,,ABA,,7,30,5.7,0.416,0,0.462,12.7,32.9,22.6,18.1,NA,27.7,27.9,NA,-0.1,0,0,-0.021
