Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dewayne Dedmon,,5.2,4,3.7,2.4,1.7,0.6
Kelvin Cato,90.8,5.3,4.2,3.8,2.7,1.7,1.6
Blair Rasmussen,89.4,5.2,4.2,3.3,1.8,1.7,-0.1
Oliver Miller,89.3,5.3,3.8,3.1,1.8,1.6,0.9
Bismack Biyombo,89.0,5.9,4,3.2,2.9,1.4,0.6
George Johnson,88.4,5,3.6,3.5,3.4,2,0.3
Zaza Pachulia,88.3,4.8,3.9,3.9,2.9,1.1,0.3
Bob Ferry,88.1,4.9,3.9,3.1,2.7,1.4,1.2
Jason Collins,87.9,4.9,4.7,3.9,3,2,0.6
Mel Counts,87.9,5,4.3,2.9,2.7,1.5,1
Nenad Krstić,87.4,5.4,4.4,4.2,1.9,1.7,-0.1
