,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,26,STL,NBA,,1,2,0,0,,,2,0,,,1,2
1968-69,27,ATL,NBA,,2,7,2,3,,,5,1,,,2,6
1969-70,28,ATL,NBA,,7,12,4,5,,,8,2,,,6,16
1970-71,29,ATL,NBA,,6,11,7,8,,,8,2,,,6,18
1973-74,32,DET,NBA,,4,6,2,2,,,6,3,,,4,10
1974-75,33,DET,NBA,,1,,3,3,,,,,,,,5
Career,,,,,7,,7,8,,,,,,,,18
4 Seasons,,"ATL,STL",NBA,,7,12,7,8,,,8,2,,,6,18
2 Seasons,,DET,NBA,,4,,3,3,,,,,,,,10
