,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,26,STL,NBA,,4,,3,6,,,,,,,,9
1968-69,27,ATL,NBA,,10,,11,14,,,,,,,,29
1969-70,28,ATL,NBA,,12,,14,17,,,,,,,,31
1970-71,29,ATL,NBA,,7,,9,11,,,,,,,,19
1971-72,30,TOT,NBA,,12,,8,11,,,,,,,,31
1971-72,30,ATL,NBA,,2,,4,6,,,,,,,,6
1971-72,30,HOU,NBA,,6,,5,8,,,,,,,,16
1971-72,30,DET,NBA,,12,,8,11,,,,,,,,31
1972-73,31,DET,NBA,,9,,5,8,,,,,,,,18
1973-74,32,DET,NBA,,7,,8,10,,,,,,,,15
1974-75,33,DET,NBA,,7,,7,8,,,,,,,,21
Career,,,,,12,,14,17,,,,,,,,31
5 Seasons,,"ATL,STL",NBA,,12,,14,17,,,,,,,,31
4 Seasons,,DET,NBA,,12,,8,11,,,,,,,,31
1 Season,,HOU,NBA,,6,,5,8,,,,,,,,16
