Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jim Davis,,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,NA,NA,NA
John Henson,89.3,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA,NA,NA
Kevin Kunnert,85.4,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA
Luc Longley,84.9,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0,NA
Randy Breuer,83.4,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3,0.1,0
Oliver Miller,82.6,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0,NA,NA
Eddy Curry,82.4,4.7,4.3,3.5,3.3,3,1.8,1.7,0,-0.1,-0.1,-0.3
Aron Baynes,81.7,4.1,3.9,3,3,2.4,0.6,0.1,NA,NA,NA,NA
Spencer Hawes,80.4,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,NA
Blair Rasmussen,80.3,5.2,4.2,3.3,3,1.8,1.7,0,-0.1,NA,NA,NA
Kurt Nimphius,80.0,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA
